1, 0.164, 1, 0.164
2, 0.164, 2, 0.164
3, 0.164, 3, 0.164
4, 0.164, 4, 0.164
5, 0.164, 5, 0.164
6, 0.164, 6, 0.164
7, 0.164, 7, 0.164
8, 0.164, 8, 0.164
9, 0.164, 9, 0.164
10, 0.164, 10, 0.164
11, 0.164, 11, 0.164
12, 0.164, 12, 0.164
13, 0.164, 13, 0.164
14, 0.164, 14, 0.164
15, 0.164, 15, 0.164
16, 0.164, 16, 0.164
17, 0.164, 17, 0.164
18, 0.164, 18, 0.164
19, 0.164, 19, 0.164
20, 0.164, 20, 0.164
21, 0.164, 21, 0.164
22, 0.164, 22, 0.164
23, 0.164, 23, 0.164
24, 0.164, 24, 0.164
25, 0.164, 25, 0.164
26, 0.164, 26, 0.164
27, 0.164, 27, 0.164
28, 0.164, 28, 0.164
29, 0.164, 29, 0.164
30, 0.164, 30, 0.164
31, 0.164, 31, 0.164
32, 0.164, 32, 0.164
33, 0.164, 33, 0.164
34, 0.164, 34, 0.164
35, 0.164, 35, 0.164
36, 0.164, 36, 0.164
37, 0.164, 37, 0.164
38, 0.164, 38, 0.164
39, 0.164, 39, 0.164
40, 0.164, 40, 0.164
41, 0.164, 41, 0.164
42, 0.164, 42, 0.164
43, 0.164, 43, 0.164
44, 0.164, 44, 0.164
45, 0.164, 45, 0.164
46, 0.164, 46, 0.164
47, 36.471, 47, 0.164
48, 74.605, 48, 0.164
49, 74.694, 49, 0.164
50, 74.694, 50, 0.164
51, 74.733, 51, 0.164
52, 74.734, 52, 0.164
53, 74.734, 53, 74.665
54, 74.734, 54, 74.687
55, 74.734, 55, 74.687
56, 74.734, 56, 74.687
57, 74.734, 57, 74.687
58, 74.734, 58, 74.687
59, 74.734, 59, 74.687
60, 74.734, 60, 74.687
