Browser, 10, 0, 5, 0
IM, 8, 0, 6, 0
Text Editor, 10, 0, 7, 0
Game, 10, 0, 9, 0
IDE, 8, 0, 9, 0
Graphic, 7, 0, 6, 0
Media Player, 10, 0, 10, 0
Media Editor, 9, 0, 7, 0
Calculator, 10, 0, 9, 0
Downloader, 10, 0, 10, 0
Email, 10, 0, 10, 0
PDF Reader, 7, 0, 5, 0 
Database,  9, 0, 5, 0
Anti-virus, 10, 0, 10, 0 
Ebook, 10, 0, 10, 0
Driver, 10, 0, 9, 0
P2P App, 8, 0, 8, 0
Themes, 10, 0, 10, 0
Network Tools, 6, 0, 4, 0
Education, 5, 0, 5, 0
