	@attribute File_access_class_count 1917
	@attribute Memory_class_count 301
	@attribute Network_class_count 0
	@attribute Process_control_class_count 12
	@attribute R(-/..) true
	@attribute R(./..) true
	@attribute R(lib/..) true
	@attribute R(usr/..) true
	@attribute R(var/..) true
	@attribute Total_read 121058
	@attribute Total_recieve 0
	@attribute Total_sent 0
	@attribute Total_write 0
