	@attribute File_access_class_count 2813
	@attribute Memory_class_count 343
	@attribute Network_class_count 0
	@attribute Process_control_class_count 42
	@attribute R(-/..) true
	@attribute R(./..) true
	@attribute R(etc/..) true
	@attribute R(lib/..) true
	@attribute R(usr/..) true
	@attribute R(var/..) true
	@attribute Total_read 208407
	@attribute Total_recieve 0
	@attribute Total_sent 0
	@attribute Total_write 0
